"overlap","area_a_gaps","area_b_gaps","area_change","CHM1_mean","CHM2_mean","gap_volume_a_gaps","gap_volume_b_gaps","gap_volume_change","height_growth","Plot_id"
"New gap",0,546,546,17.706162756616,6.31993063203581,0,3450.68212509155,3450.68212509155,-11.3862321245801,105
"Persistent gap",625,625,0,5.6957360168457,6.26946387939453,3559.83501052856,3918.41492462158,358.579914093021,0.573727862548834,105
"Recovered gap",782,0,-782,6.6717464954347,17.8335623485048,5217.30575942993,0,-5217.30575942993,11.1618158530701,105
"Intact canopy",0,0,0,27.9820417575038,30.6147113115472,0,0,0,2.63266955404336,104
"New gap",0,724.25,724.25,16.9592272409867,6.36365944359027,0,4608.88035202025,4608.88035202025,-10.5955677973965,104
"Persistent gap",1460.75,1460.75,0,6.05664930550911,5.80794997691044,8847.25047302244,8483.96292877192,-363.287544250517,-0.248699328598676,104
"Recovered gap",704.5,0,-704.5,6.59967014483308,20.3156284253762,4649.4676170349,0,-4649.4676170349,13.7159582805431,104
"Intact canopy",0,0,0,28.6293745443627,30.9451971392851,0,0,0,2.3158225949224,103
"New gap",0,265.5,265.5,18.8782054520372,6.48219772022772,0,1721.02349472046,1721.02349472046,-12.3960077318095,103
"Persistent gap",418,418,0,5.33158854434364,6.12272532704915,2228.60401153564,2559.29918670654,330.695175170901,0.791136782705506,103
"Recovered gap",636.5,0,-636.5,6.41321687181447,17.9729297934605,4082.01253890991,0,-4082.01253890991,11.559712921646,103
"Intact canopy",0,0,0,29.6296039366788,32.3667407978907,0,0,0,2.73713686121196,102
"New gap",0,423.25,423.25,17.7591534257991,6.28044692623637,0,2658.19916152954,2658.19916152954,-11.4787064995628,102
"Persistent gap",565.5,565.5,0,5.49346553488815,5.93430975282435,3106.55475997925,3355.85216522217,249.297405242924,0.440844217936206,102
"Recovered gap",626.75,0,-626.75,6.3458593952071,19.3886874746316,3977.26737594605,0,-3977.26737594605,13.0428280794245,102
"Intact canopy",0,0,0,29.453278370285,31.064287601876,0,0,0,1.61100923159095,101
"New gap",0,563.25,563.25,21.8463374923929,6.379626718141,0,3593.32474899292,3593.32474899292,-15.4667107742519,101
"Persistent gap",497.5,497.5,0,6.01049649032515,6.16687337597411,2990.22200393676,3068.01950454712,77.7975006103584,0.156376885648961,101
"Recovered gap",629.5,0,-629.5,6.72380024104765,18.7086734423286,4232.6322517395,0,-4232.6322517395,11.9848732012809,101
"Intact canopy",0,0,0,30.1053892916882,32.7165888845074,0,0,0,2.6111995928192,99
"New gap",0,519.5,519.5,20.1571748236031,6.39260321608865,0,3320.95737075806,3320.95737075806,-13.7645716075144,99
"Persistent gap",887.5,887.5,0,5.24775663134081,5.57253951811452,4657.38401031497,4945.62882232664,288.244812011667,0.324782886773709,99
"Recovered gap",665.25,0,-665.25,6.37455536771743,19.1501470061901,4240.67295837402,0,-4240.67295837402,12.7755916384726,99
"Intact canopy",0,0,0,28.3267075578022,30.0937347416908,0,0,0,1.76702718388859,98
"New gap",0,910.75,910.75,21.1495432407359,6.3909045629635,0,5820.51633071901,5820.51633071901,-14.7586386777724,98
"Persistent gap",918,918,0,5.70447595966148,5.91002338800036,5236.70893096924,5425.40147018433,188.69253921509,0.205547428338877,98
"Recovered gap",569,0,-569,6.59387975334074,19.4969198096197,3751.91757965088,0,-3751.91757965088,12.9030400562789,98
"Intact canopy",0,0,0,31.6836910124604,33.0278759113132,0,0,0,1.3441848988528,97
"New gap",0,579.75,579.75,18.1827681304155,6.42718392685087,0,3726.15988159179,3726.15988159179,-11.7555842035646,97
"Persistent gap",610.75,610.75,0,6.13078178190277,6.16329515092547,3744.37497329711,3764.23251342773,19.8575401306189,0.0325133690227082,97
"Recovered gap",408.25,0,-408.25,6.52641543068919,20.6674505585334,2664.40909957886,0,-2664.40909957886,14.1410351278442,97
"Intact canopy",0,0,0,29.2101128706922,30.7317985570959,0,0,0,1.5216856864037,95
"New gap",0,523.25,523.25,20.8419436889007,6.01756250169137,0,3148.68957901001,3148.68957901001,-14.8243811872093,95
"Persistent gap",347.75,347.75,0,6.6099102533095,6.54346924047517,2298.59629058838,2275.49142837524,-23.1048622131384,-0.0664410128343311,95
"Recovered gap",342.75,0,-342.75,6.80128038268642,19.5881437917942,2331.13885116577,0,-2331.13885116577,12.7868634091077,95
"Intact canopy",0,0,0,31.7774684933333,32.6764689339561,0,0,0,0.899000440622832,89
"New gap",0,395.5,395.5,21.0319778403802,6.68154165506664,0,2642.54972457886,2642.54972457886,-14.3504361853135,89
"Persistent gap",358,358,0,6.57308497508811,6.69234471880524,2353.16442108154,2395.85940933228,42.6949882507324,0.11925974371713,89
"Recovered gap",351.75,0,-351.75,7.18343854848594,18.2734101274459,2526.77450942993,0,-2526.77450942993,11.08997157896,89
"Intact canopy",0,0,0,31.1680436045266,33.1631963899294,0,0,0,1.99515278540279,94
"New gap",0,403.75,403.75,23.2991940524925,5.76290884106521,0,2326.77444458008,2326.77444458008,-17.5362852114273,94
"Persistent gap",121.5,121.5,0,6.34973715950922,5.72158945342641,771.493064880371,695.173118591309,-76.319946289062,-0.628147706082816,94
"Recovered gap",161.75,0,-161.75,6.65799589319244,20.7664966376893,1076.93083572388,0,-1076.93083572388,14.1085007444968,94
"Intact canopy",0,0,0,29.7141863422825,31.7017246991974,0,0,0,1.9875383569149,88
"New gap",0,393.75,393.75,20.5266341339596,6.2017384750124,0,2441.93452453613,2441.93452453613,-14.3248956589472,88
"Persistent gap",246.5,246.5,0,6.79725676376002,6.07751034626371,1675.52379226685,1498.106300354,-177.417491912842,-0.719746417496316,88
"Recovered gap",313.75,0,-313.75,6.80028432412926,19.9848979934753,2133.58920669556,0,-2133.58920669556,13.184613669346,88
"Intact canopy",0,0,0,29.6021793186286,30.7195695430124,0,0,0,1.11739022438378,93
"New gap",0,363.25,363.25,21.3104447996871,6.45621968825275,0,2345.22180175781,2345.22180175781,-14.8542251114343,93
"Persistent gap",162.25,162.25,0,6.9142421022953,7.03455038908266,1121.83578109741,1141.35580062866,19.5200195312502,0.120308286787366,93
"Recovered gap",204.75,0,-204.75,6.84853997422662,19.3123617207174,1402.2385597229,0,-1402.2385597229,12.4638217464908,93
"Intact canopy",0,0,0,30.4674370188941,31.5588987225942,0,0,0,1.09146170370015,87
"New gap",0,691.5,691.5,22.1635657839386,6.35259695322033,0,4392.82079315186,4392.82079315186,-15.8109688307182,87
"Persistent gap",452.75,452.75,0,6.28854726520709,6.92883401888632,2847.13977432251,3137.02960205078,289.889827728272,0.640286753679231,87
"Recovered gap",434.25,0,-434.25,6.90224403640494,18.8542075500313,2997.29947280884,0,-2997.29947280884,11.9519635136263,87
"Intact canopy",0,0,0,29.7659618909954,31.3584652385169,0,0,0,1.59250334752144,92
"New gap",0,403,403,19.8878335313821,6.74698340744889,0,2719.0343132019,2719.0343132019,-13.1408501239332,92
"Persistent gap",389.25,389.25,0,6.57536106195371,6.43447460451414,2559.45929336548,2504.61923980713,-54.840053558351,-0.140886457439565,92
"Recovered gap",409.75,0,-409.75,6.79352520703542,19.7273264635329,2783.64695358276,0,-2783.64695358276,12.9338012564975,92
"Intact canopy",0,0,0,30.1086555456114,31.645237137259,0,0,0,1.53658159164764,86
"New gap",0,433,433,23.0963262773827,6.192746750477,0,2681.45934295654,2681.45934295654,-16.9035795269057,86
"Persistent gap",289.5,289.5,0,5.75300924930341,6.15957227848561,1665.49617767334,1783.19617462158,117.699996948246,0.406563029182196,86
"Recovered gap",346.75,0,-346.75,6.55397675066607,18.4091387627016,2272.59143829346,0,-2272.59143829346,11.8551620120356,86
"Intact canopy",0,0,0,28.964268323269,31.3133955191398,0,0,0,2.3491271958708,90
"New gap",0,97,97,18.0542309161314,7.38897339339109,0,716.730419158936,716.730419158936,-10.6652575227403,90
"Persistent gap",116.5,116.5,0,6.24989646289482,7.01678535559658,728.112937927247,817.455493927002,89.3425559997554,0.766888892701763,90
"Recovered gap",249.75,0,-249.75,7.14636994171906,17.5372615199428,1784.80589294434,0,-1784.80589294434,10.3908915782237,90
"Intact canopy",0,0,0,30.227490534195,31.816394535476,0,0,0,1.58890400128108,79
"New gap",0,348.5,348.5,21.490904645222,6.50370245650305,0,2266.54030609131,2266.54030609131,-14.9872021887189,79
"Persistent gap",312.5,312.5,0,5.78282485351563,6.20915224609375,1807.13276672363,1940.3600769043,133.227310180664,0.426327392578125,79
