"Plot_id","Site","Persistant_gap_area_2013","Recovered_gap_area_2013","New_gap_area_2020","Persistant_gap_area_2020","Intact_canopy_TCH_2013","New_gap_TCH_2013","Persistant_gap_TCH_2013","Recovered_gap_TCH_2013","Intact_canopy_TCH_2020","New_gap_TCH_2020","Persistant_gap_TCH_2020","Recovered_gap_TCH_2020","Persistant_gap_volume_2013","Recovered_gap_volume_2013","New_gap_volume_2020","Persistant_gap_volume_2020","Persistant_gap_volume_change","Intact canopy_height_growth","New gap_height_growth","Persistent gap_height_growth","Recovered gap_height_growth","Existing_gap_area_2013","Existing_gap_area_2020","Existing_gap_volume_2013","Existing_gap_volume_2020","Existing_proportion_closed","Existing_proportion_closed_perc"
"123","SBE",1232.5,607.25,753.5,1232.5,30.7795570198926,20.6876561722379,5.39323805060397,6.08178761192877,32.9184929796974,5.9525995691169,5.18835179946002,22.9397704311731,6647.16589736939,3693.16552734375,4485.28377532958,6394.64359283447,-252.522304534921,2.13893595980474,-14.735056603121,-0.204886251143952,16.8579828192443,1839.75,1232.5,10340.3314247131,6394.64359283447,0.381582337143331,38.1582337143331
"117","SBE",1610.5,1993.5,467,1610.5,31.5881483814773,20.0539989185538,4.03156672764623,3.76085518558792,33.6867819619081,4.90421279645834,4.05686010332887,10.7398155811347,6492.83821487425,7497.26481246952,2290.26737594604,6533.57319641114,40.7349815368843,2.09863358043086,-15.1497861220954,0.0252933756826357,6.97896039554676,3604,1610.5,13990.1030273438,6533.57319641114,0.53298605566798,53.298605566798
"112","SBE",917.25,559.75,672.75,917.25,31.6056615160716,20.5496921206176,5.95751327219371,6.25988828140266,34.0448913278435,5.81517347479699,6.02297771929008,21.918329236336,5464.52904891968,3503.97246551514,3912.15795516967,5524.57631301883,60.0472640991447,2.43922981177186,-14.7345186458206,0.0654644470963692,15.6584409549333,1477,917.25,8968.50151443482,5524.57631301883,0.384002299143618,38.4002299143618
"122","SBE",953.5,562.75,712.75,953.5,29.8949790908494,19.5294972195286,5.53620919046066,6.08006807223048,31.5300075385797,5.91273421465158,5.8786450662598,19.6496812641647,5278.77546310424,3421.5583076477,4214.30131149291,5605.28807067872,326.512607574481,1.63502844773025,-13.616763004877,0.342435875799141,13.5696131919343,1516.25,953.5,8700.33377075194,5605.28807067872,0.355738731596469,35.5738731596469
"116","SBE",651.75,1225.75,415,651.75,29.6065659839828,19.0966735196401,4.9404573136927,4.81143053098765,32.1185289009783,5.83190231323242,5.02240209136834,13.7621749762779,3219.94305419921,5897.61097335811,2420.23945999145,3273.35056304932,53.4075088501013,2.51196291699549,-13.2647712064077,0.0819447776756448,8.9507444452902,1877.5,651.75,9117.55402755732,3273.35056304932,0.640983694403588,64.0983694403588
"111","SBE",205.75,383.75,184.25,205.75,29.307532272066,19.8662322832415,5.57637127752293,6.51248036735609,32.3781626330502,6.33213470748839,6.58706435137502,18.2962065059898,1147.33839035034,2499.1643409729,1166.69581985474,1355.28849029541,207.950099945068,3.07063036098418,-13.5340975757532,1.01069307385209,11.7837261386337,589.5,205.75,3646.50273132324,1355.28849029541,0.628331968970279,62.8331968970279
"121","SBE",185.5,440.25,438.5,185.5,28.1845138121147,21.516596203655,6.4841559068212,6.16050486264074,29.3105506665031,6.44025616009667,6.08458680926629,14.3693863946156,1202.81092071533,2712.16226577759,2824.05232620239,1128.6908531189,-74.1200675964346,1.12603685438841,-15.0763400435584,-0.399569097554904,8.20888153197483,625.75,185.5,3914.97318649292,1128.6908531189,0.711698956965272,71.1698956965272
"109","SBE",851,592,676,851,27.9329326620696,19.2407281130729,5.65737401780735,6.46631244066599,29.6354079901939,5.66414930693496,5.688602308549,17.9206243012403,4814.42528915406,3828.05696487427,3828.96493148803,4841.0005645752,26.5752754211462,1.70247532812426,-13.5765788061379,0.0312282907416526,11.4543118605743,1443,851,8642.48225402833,4841.0005645752,0.439859935805044,43.9859935805044
"108","SBE",934,401.75,697.75,934,30.5115032006301,19.7877856930794,5.76557883971256,6.60836071306383,32.3701317472814,6.1081510548607,5.61799618723051,21.2904513631464,5385.05063629153,2654.90891647339,4261.96239852905,5247.2084388733,-137.842197418239,1.85862854665126,-13.6796346382187,-0.147582652482055,14.6820906500825,1335.75,934,8039.95955276492,5247.2084388733,0.347358851193623,34.7358851193623
"107","SBE",446.75,362,455.25,446.75,29.6803145044603,18.9501738865123,5.86217487251952,6.487738867491,31.3787378586534,6.73126135233796,6.16495058372425,19.8186571532191,2618.9266242981,2348.56147003174,3064.40673065185,2754.19167327881,135.265048980712,1.69842335419303,-12.2189125341743,0.302775711204728,13.3309182857281,808.75,446.75,4967.48809432984,2754.19167327881,0.445556462143796,44.5556462143796
